title,url,create_time,author,content
[閒聊] 關於蝦皮非官方廣告,https://www.ptt.cc/bbs/e-seller/M.1768958827.A.CBF.html,2026-01-21 09:27:05,yl1081 (豬),"近期蝦皮手續費關系
本來在蝦皮投放廣告金額想縮減

另一方面也花一些錢建立自己品牌的網站

於是想說投放到蝦皮以外的廣告
Google 後看到一個有趣的蝦皮非官方廣告發送服務
標榜短時間可以發送給數十萬以上消費者

價位相對官方廣告親民許多
因為是每月扣款吃到飽，想說試試看

使用三天的心得，先說好處
1. 蝦皮店流量多100%以上
2. 可能蝦皮店名稱和官網相同，官網流量也上升2成

缺點目前看到的是
大量接觸消費者，有人看到廣告會不爽來罵人

不知道版上有沒有學長姐也用過？
有沒有其他短時間沒遇到的問題"
[問題] 蝦皮抽成問題？,https://www.ptt.cc/bbs/e-seller/M.1769860314.A.5D3.html,2026-01-31 19:51:51,rook18ies (天地一海鷗),"現在蝦皮是方案1， 有買家下標後顯示出最終進帳，如圖，想問這還會扣掉60運費嗎？
實收是否會如圖所示，謝謝"
[問題] 蝦皮商品無法編輯付款方式,https://www.ptt.cc/bbs/e-seller/M.1774228004.A.6A7.html,2026-03-23 09:06:42,Barefoot24 (アドル),"在商品編輯頁面中完全中沒有付款選項可以選
然後被系統自動下架禁賣
超級白癡

我去賣場設定-付款設定那邊開啟信用卡支付（已認證）
但是不論回來編輯舊的商品，或是開新的新增
都還是沒跳出付款選項可以選

請問這個你們有遇到嗎

我賣的是遊戲序號，所以我設定宅配
不知道有無影響"
[問題] 蝦皮到底方案怎選,https://www.ptt.cc/bbs/e-seller/M.1769227011.A.608.html,2026-01-24 11:56:49,jackjenny (痛苦),"我是小小小賣家

剛發現 其他服務費被抽60..但也還有一筆成交手續費6.5%
有看新聞稿 好像是2025.12有個公告 沒選擇蝦皮幫你選被抽60那個方案
問題
Q1.方二案二 被抽60那個方案 怎取消了?好像沒人提到可否取消?
Q2.我這奈米賣家 手續費6.5%+服務費60 受不了阿 怎會這樣
   有辦法只要手續費6.5%嗎? 而不要服務費60"
[問題] 蝦皮實際收入多少怎麼看?,https://www.ptt.cc/bbs/e-seller/M.1773892171.A.3A2.html,2026-03-19 11:49:25,shayne5626 (真誠的微風),"抱歉 新手發問 做蝦皮這幾天下來銷售金額大概5萬左右
我有開免運 蝦幣10%回饋 是賣休閒零食堅果類 手續費大在17%左右

我賣5萬塊的金額(前七天營收 不算今天的營收)

但是蝦皮錢包的實際收入估計卻只有快3萬(含今天)

我沒有找直播主賣那些的  就都靠廣告跟自然流量

手續費17%的話 應該也快要4萬才對  突然少了1萬怎麼會這樣

這樣賣五萬 只收三萬 被收走2萬  就40%了?

怎麼看到實際會收多少呢?  抱歉  不太懂系統"
Re: [閒聊] 2026 蝦皮手續費調整,https://www.ptt.cc/bbs/e-seller/M.1767319684.A.277.html,2026-01-02 10:08:02,froglilibon (立立蹦),"不同商品類別的成交手續費>>

較長備貨3%手續費免除種類>>

假設成交手續費5.5%+金流處理費2.5%=8%
小賣家方案2要收到1000元
可以1000x1.087+66=1153
1153x0.08=93
1153-93-60=1000

政府要課5%稅的話
可以1000x1.15+69=1219
1219x0.08=98
1219x0.05=61
1219-98-61-60=1000"
[問題] 蝦皮成交手續費問題,https://www.ptt.cc/bbs/e-seller/M.1773406059.A.AD6.html,2026-03-13 20:47:34,jackjenny (痛苦),"我只是佛心賣家　
我剛看我成交手續費是７．５％
疑　這我記得成成交手續費是５．５％
怎漲價了ˊ？
是因為活動促銷２％　強制加上去嗎？
換句話說　有辦法不參加那２％嗎？"
[問題] 家附近的蝦皮都不支援店到家宅配寄貨,https://www.ptt.cc/bbs/e-seller/M.1774373163.A.CBD.html,2026-03-25 01:26:01,isawxsdto (夏天的風景),"我是個人賣家，買家下標一樣大型物品，選擇店到家宅配

我家附近有兩間智取店

可以印出寄件單，但都顯示「本門市未提供店到家宅配寄件」

上蝦皮查，查半天也只看到「若寄件機無【隔日到貨 | 店到家宅配】寄件功能，請
至其他門市操作，詳細資訊請參考 無法配合隔日到貨服務門市清單。」

然後我要點無法配合的服務門市清單，點進去是404頁面錯誤

我只想要知道哪間門市可以寄 一直查不出所以然

然後我的十公斤的貨是用走路拿的

不想再走來走去親自嘗試錯誤啊!有人知道嗎？"
[問題] 蝦皮賣場商品消失,https://www.ptt.cc/bbs/e-seller/M.1773844342.A.7EE.html,2026-03-18 22:32:20,maplefoxs (狐狸怎麼叫),"有人遇過這種情況嗎？

後台上架的商品在賣場裡面找不到，無論是自己帳號還是開其他帳號都沒有。

從後台即時預覽可以點進去，但是拿同樣的網址在瀏覽器開，會顯示此商品不存在。

目前後台有22件商品，但賣場只有7件商品。
最近沒有更新這些商品，所以也沒審核問題"
[問題] 有沒有蝦皮網頁版晚上都會卡到不行的八卦,https://www.ptt.cc/bbs/e-seller/M.1761501315.A.0BF.html,2025-10-27 01:55:11,spsp1031 (喔靠),"最近這一個禮拜發現越來越嚴重

要點單出來印  跑的有夠慢

卡半天就是不顯示寄件單出來

有沒有蝦皮網頁版超卡的八卦?"
[閒聊] 蝦皮新制手續費實施三個月大家的留存現況,https://www.ptt.cc/bbs/e-seller/M.1775302411.A.820.html,2026-04-04 19:33:29,wjky (JEM),"蝦皮這波手續費從年初調整到現在也三個月了，想問問各位前輩目前的營運體感？
這一季算下來，扣掉成交與大促抽成，獲利縮水很多
目前我已關掉低毛利產品，大家這幾個月有什麼具體的避險或轉移策略嗎？"
[情報] 賣家報警 要抓蝦皮物流的內鬼,https://www.ptt.cc/bbs/e-seller/M.1762934842.A.822.html,2025-11-12 16:07:20,a9202507 (先認真的就輸了。),"大意
賣家寄貨 買家收到東西後 東西有少
後來發現蝦皮物流 確認當時有重新包裝貨物

目前賣家報警了"
Re: [閒聊] 2026 蝦皮手續費調整,https://www.ptt.cc/bbs/e-seller/M.1763635484.A.659.html,2025-11-20 18:44:41,wekl (),"我來整理一下
一般中小型需報稅的賣家費用分析
有錯請指正~

方案一 +6%   方案二 +60元

成交 6%
免運 6%  或60元
金流 2.5%

遇到促銷日2% (不想被收可以參加長期蝦皮回饋收3%)
代開電子發票2.5元
營業稅5%
退貨成本 包材 人力 所得稅另計

: 好像強制所有賣家參加免運方案(+6%或+60元)

: 促銷檔期2%好像也要收了(原本有參加免運方案可以免2%)

: 另外金流手續費2%>2.5%

: 目前手續費

: 成交手續費5.5%

: 金流手續費2.5%

: 免運方案6%

: 促銷檔期2%

: 一下變快20%了

: 

: Sent from JPTT on my iPhone"
[情報] 蝦皮-OK超商物流將於2026/1/1停止包裹服,https://www.ptt.cc/bbs/e-seller/M.1764318176.A.413.html,2025-11-28 16:22:54,xxxlsen (senxxx),"因應 OKmart 近期通知，2025年合作合約即將到期，將調整雙方寄取件合作安排。停止蝦皮購物包裹寄取件服務，蝦皮購物將於 2026 年 01 月 01 日（四）停止 OK 超商物流服務，屆時用戶將無法選擇OK超商配送，或透過 OK 超商進行包裹寄取件。

為因應本次服務停止，蝦皮購物將同步調整使用 OK 超商物流之商品設定。為確保調整期間出貨流程順暢，請留意以下事項：

較長備貨商品之物流設定調整

自 2025 年 12 月 01 日（一）起，平台將陸續調整 OK 超商於部分商品中的物流選項：

較長備貨商品將陸續關閉 OK 超商物流選項。

新上架之較長備貨商品亦將無法開啟 OK 超商物流。

OK 超商物流服務停止時間

2026 年 01 月 01 日（四）起，平台將正式停止 OK 超商物流服務，包含下單、寄送與取件。

2026 年 01 月 01 日 23 點 59 分 59 秒前賣家仍可透過賣家中心申請寄件編號，並請留意於期限內寄出，逾期將由系統自動判定訂單不成立。2026 年 01 月 04 日 23 點 59 分 59 秒前為OK 超商門市最晚受理寄件時間。若賣家未能於 2026 年 01 月 01 日 23 點 59 分 59 秒前申請寄件編號因而訂單不成立，蝦皮會主動排除於訂單未完成率計算。

2026 年 01 月 01 日後有收到 OK 超商到店簡訊提醒的買家，仍可至 OK 超商取件。

注意事項

為避免影響您的訂單流程，請賣家務必提前規劃：

若您仍有使用 OK 超商物流之商品，請儘早調整為其他物流運送方式。

若您為 API 串接賣家，請提前同步更新物流設定，以免造成出貨延誤或訂單異常。

蝦皮購物將持續投入物流資源與平台優化，感謝您的理解與配合！

來源：

OK最近瘋狂倒店，正愁附近都沒OK可以寄件了…
這下也算是個好消息吧…"
[問題] 蝦皮無法出貨了 錯誤代碼30010,https://www.ptt.cc/bbs/e-seller/M.1765470367.A.48A.html,2025-12-12 00:26:05,sellgd (李先生),"午夜進入2400才這樣，無法申請店到店編碼
進訂單看也一樣

你賣場中仍有進行中的促銷活動」錯誤代碼 10030

大家也是一樣嗎?"
[問題] 關於蝦皮明年新竹貨運的運費收取,https://www.ptt.cc/bbs/e-seller/M.1766476558.A.EEC.html,2025-12-23 15:55:56,hihimen (aa),"乳提
新竹貨運有滿額免運，但超過材積的部份要向賣家收錢
但如果金額達到原廠的免運金額就會讓原廠直接寄出
客人選新竹貨運，我還可以請原廠出貨，還是叫貨進來再寄出?
請原廠出貨的話，超過材積的部份，我還要付錢??"
[問題] 明明已出貨 蝦皮卻顯示未出貨,https://www.ptt.cc/bbs/e-seller/M.1766225704.A.D91.html,2025-12-20 18:15:02,bsmile602 (那我懂你意思了),"如題 我昨天在蝦皮店面印出貼紙後 要刷出貨時
畫面就顯示此筆已出貨
問了店員 也沒得到答案 就叫我正常寄即可
結果今天系統依然顯示未出貨 馬上期限就要到了
現在也聯絡不到客服
請問這樣的狀況有人遇過嗎：（ 

Sent from 
BePTT
 on my iPhone 16 Max"
[問題] 蝦皮賣家頁面壞了？,https://www.ptt.cc/bbs/e-seller/M.1766666529.A.380.html,2025-12-25 20:42:07,joseph1357 (joseph),好幾天了，蝦皮賣家頁面和賣家中心App都登入不了也一直讀取中
Re: [閒聊] 2026 蝦皮手續費調整,https://www.ptt.cc/bbs/e-seller/M.1767235851.A.034.html,2026-01-01 10:50:47,mstar (Wayne Su),"大出包！蝦皮工程師應該是設定成每個商品都算手續費，而不是每筆訂單：

有些賣家是設定單價 $1，買家按實際金額填數量，因而就出現這種神奇帳單：

各位對這兩個月的單要注意檢查。"
[閒聊] 2026 蝦皮手續費調整,https://www.ptt.cc/bbs/e-seller/M.1763621037.A.23E.html,2025-11-20 14:43:54,Au0y4 (修撻),"好像強制所有賣家參加免運方案(+6%或+60元)

促銷檔期2%好像也要收了(原本有參加免運方案可以免2%)

另外金流手續費2%>2.5%

目前手續費
成交手續費5.5%
金流手續費2.5%
免運方案6%
促銷檔期2%

一下變快20%了

Sent from JPTT on my iPhone"
Re: [閒聊] 2026 蝦皮手續費調整,https://www.ptt.cc/bbs/e-seller/M.1766709922.A.B11.html,2025-12-26 08:45:18,mstar (Wayne Su),"各位注意啦，今天是最後期限！

沒選方案一的 +6%：

明年就會全都都自動採方案二的每筆 +$60：

蝦皮就是要套殺你各位了，斟酌自己賣場每單金額平均是多少，做好選擇吧！

我個人是選 6%，然後全部調高售價由買家吸收。

批次更新賣場"
[法律] 商標法被蝦皮下架,https://www.ptt.cc/bbs/e-seller/M.1755603596.A.C21.html,2025-08-19 19:39:54,Rose5566MVP (賣些歌),"真的不懂

跟合法廠商進貨
也提供進貨單據了

圖片也是自己編輯的
上面就是打商品名 跟商品圖與店家名稱而已

然後應該是該商品廠商不想要上網賣
（一堆人在賣嗎）

所以用商標法請求蝦皮下架

真的不懂欸，商標法就明明就有耗盡原則，只要我買下來了，要怎麼賣都可以吧，也沒簽
合約
你可以斷我貨，但我怎麼看都沒有實質違法

然後怎麼跟蝦皮客服講法律都沒用
他們就不想惹事的感覺，請我們跟權利人溝通？？

什麼鬼，我怎麼看都沒有違法
重點是還被記點

有法律人可以跟我說，到底違反什麼了嗎"
[情報] 2026蝦皮發大財 手續費統計,https://www.ptt.cc/bbs/e-seller/M.1767273109.A.037.html,2026-01-01 21:11:47,enhpenhp (重新開始),"直接講結論，賣一件商品，
各種名目手續費加起來要抽到15%左右，
遇到促銷檔期還要再加2%，也就是17%，

但你以為賣100元要付17元給蝦皮嗎？

而且還有更重要的細節，
金流處理費的金額，
包含(1)商品實際成交金額、(2)運費、(3)蝦皮提供之折扣金額

也就是說，你在促銷檔期賣100元商品，運費若是60元，
你總共要付給蝦皮的，是18.5元！

利潤大家自己抓好，若是沒有記帳習慣的小賣家，
很可能賣了半天沒賺也就算了，花了時間還虧錢，就不划算了~
喔喔，對了，還有若做到一定的規模，還要把利潤加上付給國稅局的錢

基本上，利潤不抓3成以上，基本上是不用花時間當賣家，
或是轉戰其他平台吧

明年或許就要抽到20%以上的手續費了..."
